epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3972,0.63321,2.66732,1.28724,0.91651,0.2,0.58922,0.47737,0.61162,3.01064,1.41091,0.000366219,0.000366219,0.000366219
2,79.2068,0.58143,1.50306,1.21521,0.47339,0.63173,0.73748,0.63935,0.65293,2.56516,1.5024,0.000718322,0.000718322,0.000718322
3,102.825,0.58783,1.29977,1.21959,0.69473,0.67034,0.77929,0.6688,0.70878,1.71424,1.51337,0.00105209,0.00105209,0.00105209
4,125.707,0.54571,1.12557,1.18367,0.85999,0.66313,0.76799,0.66075,0.69773,1.62382,1.46028,0.00102851,0.00102851,0.00102851
5,149.406,0.54642,1.0087,1.1859,0.92269,0.75442,0.78978,0.69321,0.66017,1.24164,1.35575,0.00100101,0.00100101,0.00100101
6,173.176,0.51473,0.89593,1.17712,0.75043,0.75831,0.79939,0.68543,0.62429,1.28017,1.3482,0.000973514,0.000973514,0.000973514
7,195.785,0.51615,0.89023,1.17426,0.78271,0.81026,0.80639,0.71142,0.58274,0.91243,1.35241,0.000946016,0.000946016,0.000946016
8,218.994,0.49128,0.80378,1.15404,0.80255,0.80078,0.79653,0.65287,0.72084,1.09736,1.47637,0.000918519,0.000918519,0.000918519
9,242.429,0.49656,0.77049,1.15675,0.81349,0.81402,0.81871,0.71931,0.59443,0.81314,1.32591,0.000891022,0.000891022,0.000891022
10,265.543,0.46433,0.74363,1.12781,0.81371,0.81288,0.81823,0.72295,0.54882,0.69208,1.27649,0.000863525,0.000863525,0.000863525
11,287.605,0.46841,0.71162,1.14238,0.79765,0.78496,0.81287,0.72527,0.56963,0.83985,1.303,0.000836027,0.000836027,0.000836027
12,310.962,0.49074,0.72002,1.15225,0.72469,0.78541,0.78892,0.69071,0.58296,0.9669,1.29991,0.00080853,0.00080853,0.00080853
13,333.575,0.44585,0.65352,1.12137,0.76654,0.81171,0.81153,0.73168,0.50797,0.5906,1.28063,0.000781033,0.000781033,0.000781033
14,355.553,0.46336,0.66689,1.13443,0.8684,0.83224,0.84959,0.74498,0.53331,0.61235,1.26463,0.000753536,0.000753536,0.000753536
15,378.954,0.44293,0.63785,1.12118,0.81781,0.82938,0.82246,0.73205,0.51956,0.58498,1.28892,0.000726038,0.000726038,0.000726038
16,402.058,0.43957,0.61413,1.11791,0.78973,0.80346,0.8105,0.71671,0.50733,0.64055,1.27479,0.000698541,0.000698541,0.000698541
17,424.022,0.42876,0.59001,1.10773,0.84735,0.85292,0.83853,0.71439,0.68167,0.7078,1.46869,0.000671044,0.000671044,0.000671044
18,446.642,0.42941,0.60253,1.10985,0.81226,0.79693,0.81226,0.74014,0.47299,0.69778,1.22488,0.000643547,0.000643547,0.000643547
19,469.792,0.4324,0.57268,1.11956,0.83351,0.80438,0.82034,0.74543,0.47904,0.57097,1.2406,0.000616049,0.000616049,0.000616049
20,492.248,0.42183,0.56834,1.10747,0.83959,0.80091,0.80979,0.71954,0.49646,0.56599,1.23197,0.000588552,0.000588552,0.000588552
21,515.339,0.41748,0.57685,1.10617,0.83772,0.82293,0.84145,0.74079,0.5093,0.69087,1.2599,0.000561055,0.000561055,0.000561055
22,538.002,0.4017,0.5433,1.09236,0.82257,0.81176,0.82632,0.75739,0.47159,0.63221,1.22233,0.000533558,0.000533558,0.000533558
23,560.991,0.43667,0.57437,1.12349,0.82365,0.79817,0.8335,0.74951,0.47403,0.57592,1.19417,0.00050606,0.00050606,0.00050606
24,583.305,0.3944,0.52098,1.08935,0.83918,0.80371,0.82598,0.75875,0.46481,0.5732,1.21062,0.000478563,0.000478563,0.000478563
25,606.335,0.41579,0.52439,1.10719,0.83616,0.80284,0.82989,0.74908,0.47738,0.51953,1.19272,0.000451066,0.000451066,0.000451066
26,628.95,0.39072,0.5164,1.08247,0.79956,0.82674,0.82612,0.76261,0.45724,0.56778,1.17548,0.000423569,0.000423569,0.000423569
27,650.506,0.39993,0.51898,1.09709,0.84496,0.82746,0.82623,0.75007,0.45554,0.5573,1.16092,0.000396071,0.000396071,0.000396071
28,673.695,0.38856,0.51137,1.08656,0.86469,0.82766,0.84053,0.76095,0.47041,0.50766,1.1635,0.000368574,0.000368574,0.000368574
29,696.29,0.39834,0.51559,1.09204,0.83949,0.86088,0.83979,0.7648,0.50528,0.54567,1.2637,0.000341077,0.000341077,0.000341077
30,718.453,0.3894,0.4955,1.08499,0.83622,0.80438,0.81657,0.74716,0.43211,0.47982,1.18347,0.00031358,0.00031358,0.00031358
31,742.164,0.3546,0.40335,1.15017,0.84427,0.82069,0.82949,0.76589,0.44638,0.50653,1.17319,0.000286083,0.000286083,0.000286083
32,762.299,0.34812,0.38437,1.15007,0.83739,0.80606,0.83154,0.76447,0.45516,0.49169,1.16316,0.000258585,0.000258585,0.000258585
33,783.252,0.33747,0.38233,1.13437,0.87114,0.82938,0.83842,0.7707,0.43969,0.48758,1.15944,0.000231088,0.000231088,0.000231088
34,804.334,0.33003,0.36689,1.11778,0.8373,0.802,0.82341,0.75808,0.43588,0.46733,1.16522,0.000203591,0.000203591,0.000203591
35,824.469,0.32233,0.36994,1.11626,0.84304,0.84766,0.84587,0.78423,0.41954,0.48155,1.1603,0.000176094,0.000176094,0.000176094
36,845.979,0.31517,0.35291,1.11492,0.81907,0.82828,0.82498,0.76356,0.42057,0.47344,1.14015,0.000148596,0.000148596,0.000148596
37,866.133,0.31468,0.34048,1.10779,0.82539,0.82938,0.81826,0.76016,0.42289,0.49421,1.15343,0.000121099,0.000121099,0.000121099
38,887.903,0.31553,0.33295,1.11696,0.83781,0.82938,0.82445,0.76858,0.41671,0.50588,1.13517,9.36017e-05,9.36017e-05,9.36017e-05
39,907.754,0.31012,0.32783,1.11753,0.81843,0.82938,0.81779,0.76106,0.40565,0.47814,1.13713,6.61045e-05,6.61045e-05,6.61045e-05
40,929.249,0.30439,0.31527,1.10357,0.82636,0.82938,0.81627,0.76177,0.40647,0.48601,1.1307,3.86073e-05,3.86073e-05,3.86073e-05
